TIME,RPM,TPS,MAP,Sonda_Geral,2-step,Velocidade_de_tração
4.820,5933,0.0,0.00,0.200,OFF,0.0
4.860,5934,0.0,0.00,0.200,OFF,0.0
4.900,5934,0.0,0.00,0.200,OFF,0.0
4.940,5934,0.0,0.00,0.200,OFF,0.0
4.980,5927,0.0,0.00,0.200,OFF,0.0
5.020,5731,0.0,0.00,0.200,OFF,0.0
5.060,5703,0.0,0.00,0.200,OFF,0.0
5.100,5671,0.0,0.00,0.200,OFF,0.0
5.140,5442,0.0,0.00,0.200,OFF,0.0
5.180,5429,0.0,0.00,0.200,OFF,0.0
5.220,5341,0.0,0.00,0.200,OFF,0.0
5.260,4685,0.0,0.00,0.200,OFF,0.0
5.300,4656,0.0,0.00,0.200,OFF,0.0
5.340,4426,0.0,0.00,0.200,OFF,0.0
5.380,4394,0.0,0.00,0.200,OFF,0.0
5.420,4370,0.0,0.00,0.200,OFF,0.0
5.460,4206,0.0,0.00,0.200,OFF,0.0
5.500,4199,0.0,0.00,0.200,OFF,0.0
5.540,4177,0.0,0.00,0.200,OFF,0.0
5.580,4013,0.0,0.00,0.200,OFF,0.0
5.620,4004,0.0,0.00,0.200,OFF,0.0
5.660,3873,0.0,0.00,0.200,OFF,0.0
5.700,3855,0.0,0.00,0.200,OFF,0.0
5.740,3847,0.0,0.00,0.200,OFF,0.0
5.780,3650,0.0,0.00,0.200,OFF,0.0
5.820,3623,0.0,0.00,0.200,OFF,0.0
5.860,3608,0.0,0.00,0.200,OFF,0.0
5.900,3510,0.0,0.00,0.200,OFF,0.0
5.940,3507,0.0,0.00,0.200,OFF,0.0
5.980,3507,0.0,0.00,0.200,OFF,0.0
6.020,3507,0.0,0.00,0.200,OFF,0.0
6.060,3507,0.0,0.00,0.200,OFF,0.0
6.100,3507,0.0,0.00,0.200,OFF,0.0
6.140,3507,0.0,0.00,0.200,OFF,0.0
6.180,3507,0.0,0.00,0.200,OFF,0.0
6.220,3507,0.0,0.00,0.200,OFF,0.0
6.260,3507,0.0,0.00,0.200,OFF,0.0
6.300,3507,0.0,0.00,0.200,OFF,0.0
6.340,3507,0.0,0.00,0.200,OFF,0.0
6.380,3507,0.0,0.00,0.200,OFF,0.0
6.420,3507,0.0,0.00,0.200,OFF,0.0
6.460,3507,0.0,0.00,0.200,OFF,0.0
6.500,3507,0.0,0.00,0.200,OFF,0.0
6.540,3507,0.0,0.00,0.200,OFF,0.0
6.580,3507,0.0,0.00,0.200,OFF,0.0
6.620,3507,0.0,0.00,0.200,OFF,0.0
6.660,3507,0.0,0.00,0.200,OFF,0.0
6.700,3507,0.0,0.00,0.200,OFF,0.0
6.740,3507,0.0,0.00,0.200,OFF,0.0
6.780,3507,0.0,0.00,0.200,OFF,0.0
6.820,3507,0.0,0.00,0.200,OFF,0.0
6.860,3507,0.0,0.00,0.200,OFF,0.0
6.900,3507,0.0,0.00,0.200,OFF,0.0
6.940,3507,0.0,0.00,0.200,OFF,0.0
6.980,3507,0.0,0.00,0.200,OFF,0.0
7.020,3507,0.0,0.00,0.200,OFF,0.0
7.060,3507,0.0,0.00,0.200,OFF,0.0
7.100,3507,0.0,0.00,0.200,OFF,0.0
7.140,3507,0.0,0.00,0.200,OFF,0.0
7.180,3507,0.0,0.00,0.200,OFF,0.0
7.220,3507,0.0,0.00,0.200,OFF,0.0
7.260,3507,0.0,0.00,0.200,OFF,0.0
7.300,3507,0.0,0.00,0.200,OFF,0.0
7.340,3507,0.0,0.00,0.200,OFF,0.0
7.380,3507,0.0,0.00,0.200,OFF,0.0
7.420,3507,0.0,0.00,0.200,OFF,0.0
7.460,3507,0.0,0.00,0.201,OFF,0.0
7.500,3507,0.0,0.00,0.226,OFF,0.0
7.540,3507,0.0,0.00,0.230,OFF,0.0
7.580,3507,0.0,0.00,0.236,OFF,0.0
7.620,3507,0.0,0.00,0.279,OFF,0.0
7.660,3507,0.0,0.00,0.280,OFF,0.0
7.700,3507,0.0,0.00,0.286,OFF,0.0
7.740,3507,0.0,0.00,0.329,OFF,0.0
7.780,3507,0.0,0.00,0.331,OFF,0.0
7.820,3507,0.0,0.00,0.356,OFF,0.0
7.860,3507,0.0,0.00,0.360,OFF,0.0
7.900,3507,0.0,0.00,0.365,OFF,0.0
7.940,3507,0.0,0.00,0.399,OFF,0.0
7.980,3507,0.0,0.00,0.400,OFF,0.0
8.020,3507,0.0,0.00,0.401,OFF,0.0
8.060,3507,0.0,0.00,0.444,OFF,0.0
