TIME,RPM,TPS,MAP,Sonda_Geral,2-step
5.620,2231,0.0,0.00,0.200,OFF
5.660,2100,0.0,0.00,0.200,OFF
5.700,2082,0.0,0.00,0.200,OFF
5.740,2072,0.0,0.00,0.200,OFF
5.780,2006,0.0,0.00,0.200,OFF
5.820,2003,0.0,0.00,0.200,OFF
5.860,1981,0.0,0.00,0.200,OFF
5.900,1816,0.0,0.00,0.200,OFF
5.940,1808,0.0,0.00,0.200,OFF
5.980,1710,0.0,0.00,0.200,OFF
6.020,1697,0.0,0.00,0.200,OFF
6.060,1691,0.0,0.00,0.200,OFF
6.100,1658,0.0,0.00,0.200,OFF
6.140,1656,0.0,0.00,0.200,OFF
6.180,1643,0.0,0.00,0.200,OFF
6.220,1544,0.0,0.00,0.200,OFF
6.260,1536,0.0,0.00,0.200,OFF
6.300,1372,0.0,0.00,0.200,OFF
6.340,1350,0.0,0.00,0.200,OFF
6.380,1347,0.0,0.00,0.200,OFF
6.420,1281,0.0,0.00,0.200,OFF
6.460,1272,0.0,0.00,0.200,OFF
6.500,1258,0.0,0.00,0.200,OFF
6.540,1159,0.0,0.00,0.200,OFF
6.580,1155,0.0,0.00,0.200,OFF
6.620,1123,0.0,0.00,0.200,OFF
6.660,1118,0.0,0.00,0.200,OFF
6.700,1117,0.0,0.00,0.200,OFF
6.740,1084,0.0,0.00,0.200,OFF
6.780,1079,0.0,0.00,0.200,OFF
6.820,1079,0.0,0.00,0.200,OFF
6.860,1079,0.0,0.00,0.200,OFF
6.900,1079,0.0,0.00,0.200,OFF
6.940,1074,0.0,0.00,0.200,OFF
6.980,1041,0.0,0.00,0.200,OFF
7.020,1039,0.0,0.00,0.200,OFF
7.060,1007,0.0,0.00,0.200,OFF
7.100,1002,0.0,0.00,0.200,OFF
7.140,993,0.0,0.00,0.200,OFF
7.180,927,0.0,0.00,0.200,OFF
7.220,925,0.0,0.00,0.200,OFF
7.260,925,0.0,0.00,0.200,OFF
7.300,925,0.0,0.00,0.200,OFF
7.340,925,0.0,0.00,0.200,OFF
7.380,925,0.0,0.00,0.200,OFF
7.420,925,0.0,0.00,0.200,OFF
7.460,925,0.0,0.00,0.200,OFF
7.500,925,0.0,0.00,0.200,OFF
7.540,926,0.0,0.00,0.200,OFF
7.580,944,0.0,0.00,0.200,OFF
7.620,1075,0.0,0.00,0.200,OFF
7.660,1087,0.0,0.00,0.200,OFF
7.700,1316,0.0,0.00,0.200,OFF
7.740,1348,0.0,0.00,0.200,OFF
7.780,1366,0.0,0.00,0.200,OFF
7.820,1857,0.0,0.00,0.200,OFF
7.860,1928,0.0,0.00,0.200,OFF
7.900,2006,0.0,0.00,0.200,OFF
7.940,2564,0.0,0.00,0.200,OFF
7.980,2600,0.0,0.00,0.200,OFF
8.020,3158,0.0,0.00,0.200,OFF
8.060,3233,0.0,0.00,0.200,OFF
8.100,3250,0.0,0.00,0.200,OFF
8.140,3644,0.0,0.00,0.200,OFF
8.180,3701,0.0,0.00,0.200,OFF
8.220,3792,0.0,0.00,0.200,OFF
8.260,4448,0.0,0.00,0.200,OFF
8.300,4471,0.0,0.00,0.200,OFF
8.340,4516,0.0,0.00,0.200,OFF
8.380,4845,0.0,0.00,0.200,OFF
8.420,4869,0.0,0.00,0.200,OFF
8.460,5295,0.0,0.00,0.200,OFF
8.500,5353,0.0,0.00,0.200,OFF
8.540,5365,0.0,0.00,0.200,OFF
8.580,5628,0.0,0.00,0.200,OFF
